TRINITY_DN137_c0_g1_i1 sp|Q03567|SL172_CAEEL
TRINITY_DN172_c0_g1_i1 sp|Q8N2C7|UNC80_HUMAN
TRINITY_DN261_c0_g1_i1 sp|Q95SX7|RTBS_DROME
TRINITY_DN220_c0_g2_i1 sp|O92815|POL_WDSV
TRINITY_DN253_c0_g1_i1 sp|O75626|PRDM1_HUMAN
TRINITY_DN271_c0_g1_i1 sp|P09628|ACHD_XENLA
TRINITY_DN384_c0_g1_i1 sp|P14381|YTX2_XENLA
TRINITY_DN575_c0_g1_i1 sp|Q8BZ39|NMUR2_MOUSE
TRINITY_DN587_c0_g1_i1 sp|Q2M385|MPEG1_HUMAN
TRINITY_DN856_c0_g1_i1 sp|Q9ESN4|C1QL3_MOUSE
TRINITY_DN904_c0_g1_i1 sp|O30511|FUCT_HELPX
TRINITY_DN912_c0_g1_i1 sp|P54281|CLCA1_BOVIN
TRINITY_DN1062_c0_g1_i1 sp|Q9W332|CUBN_DROME
TRINITY_DN1018_c0_g1_i1 sp|P12111|CO6A3_HUMAN
TRINITY_DN1260_c0_g1_i1 sp|B3EWZ6|MLRP2_ACRMI
TRINITY_DN1359_c0_g1_i1 sp|Q03271|PO13_NASVI
TRINITY_DN1386_c0_g1_i1 sp|Q86WI1|PKHL1_HUMAN
TRINITY_DN1758_c0_g1_i1 sp|O00370|LORF2_HUMAN
TRINITY_DN1985_c0_g1_i1 sp|O70277|TRIM3_RAT
TRINITY_DN2597_c0_g1_i1 sp|Q06805|TIE1_BOVIN
TRINITY_DN2689_c0_g1_i1 sp|B3A0Q8|PLSP3_LOTGI
TRINITY_DN2619_c0_g1_i1 sp|P46023|GR101_LYMST
TRINITY_DN2628_c0_g1_i1 sp|Q17RS7|GEN_HUMAN
TRINITY_DN2642_c0_g1_i1 sp|Q8VI56|LRP4_MOUSE
TRINITY_DN2716_c0_g1_i1 sp|P31795|POL_MLVRK
TRINITY_DN2858_c0_g1_i1 sp|P25931|RYAR_DROME
TRINITY_DN2823_c0_g1_i1 sp|Q9Y4D8|HECD4_HUMAN
TRINITY_DN2878_c0_g1_i1 sp|Q6PDC8|MFD4A_MOUSE
TRINITY_DN2955_c0_g1_i1 sp|Q80UK0|SESD1_MOUSE
TRINITY_DN3029_c0_g1_i1 sp|P11031|TCP4_MOUSE
TRINITY_DN3071_c0_g1_i1 sp|P15989|CO6A3_CHICK
TRINITY_DN3580_c0_g1_i1 sp|P20825|POL2_DROME
TRINITY_DN3657_c0_g1_i1 sp|Q91XP5|GLRA3_MOUSE
TRINITY_DN3643_c0_g1_i1 sp|Q49BZ4|CLC7A_BOVIN
TRINITY_DN3759_c0_g1_i1 sp|Q5S007|LRRK2_HUMAN
TRINITY_DN4037_c0_g1_i1 sp|Q91756|GLRK_XENLA
TRINITY_DN4254_c0_g1_i1 sp|O87444|CLPB_LEPBY
TRINITY_DN4810_c0_g1_i1 sp|O05408|YRPG_BACSU
TRINITY_DN4858_c0_g2_i1 sp|Q9W6F9|WIF1_DANRE
TRINITY_DN4900_c0_g1_i1 sp|Q9Z1L4|XLRS1_MOUSE
TRINITY_DN4940_c0_g1_i1 sp|P23175|RASH_MSVNS
